Above Threshold?,Birth Rate Bin,Country/Region,Ease of Business (clusters),GDP per Capita (bin),Region,Year,Birth Rate,Business Tax Rate,CO2 Emissions,Days to Start Business,Ease of Business,Energy Usage,GDP,GDP per Capita,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound
Below Threshold,Above 3%,Guinea,Low,$0 ,Africa,1/12/10,3.80%,88%,"1,236",40,,,$5B,$435 ,6.20%,$27 ,416,0.071,1%,,56,56,55,37%,1,0.428,0.54,0.032,10.9M,34.90%,$0B,$0B
Below Threshold,Above 3%,Benin,Low,$0 ,Africa,1/12/10,3.80%,66%,"5,189",31,,"3,653",$7B,$690 ,4.30%,$30 ,270,0.062,3%,,59,60,57,74%,1,0.434,0.537,0.029,9.5M,41.90%,$0B,$0B
Below Threshold,Above 3%,Eritrea,Low,$0 ,Africa,1/12/10,3.80%,85%,513,84,,745,$2B,$369 ,3.20%,$12 ,216,0.039,1%,,62,64,59,3%,1,0.43,0.549,0.021,5.7M,20.60%,,
Below Threshold,Above 3%,Guinea-Bissau,Low,$0 ,Africa,1/12/10,3.90%,46%,238,216,,,$1B,$527 ,7.10%,$38 ,208,0.085,3%,,54,55,52,43%,1,0.419,0.551,0.03,1.6M,45.20%,$0B,$0B
Below Threshold,Above 3%,Cameroon,Low,$0 ,Africa,1/12/10,3.90%,49%,"7,235",19,,"6,944",$22B,"$1,091 ",5.30%,$57 ,654,0.066,4%,,54,55,53,42%,1,0.434,0.533,0.032,20.6M,51.50%,$0B,$0B
Below Threshold,Above 3%,Congo (Brazzaville),Low,$0 ,Africa,1/12/10,3.90%,66%,"2,028",161,,"1,511",$12B,"$2,920 ",2.30%,$67 ,606,0.042,5%,,58,59,56,90%,1,0.422,0.544,0.034,4.1M,63.20%,,
Below Threshold,Above 3%,Senegal,Low,$0 ,Africa,1/12/10,3.90%,46%,"7,059",9,,"3,426",$13B,$999 ,4.80%,$48 ,666,0.047,16%,,63,64,61,64%,1,0.436,0.533,0.031,13.0M,42.20%,$0B,$0B
Below Threshold,Above 3%,Mozambique,Moderate,$0 ,Africa,1/12/10,4.10%,38%,"2,882",13,,"9,875",$9B,$387 ,5.70%,$22 ,230,0.072,4%,0.163,49,50,48,30%,1,0.453,0.514,0.032,24.0M,31.00%,$0B,$0B
Below Threshold,Above 3%,Malawi,Low,$0 ,Africa,1/12/10,4.10%,26%,"1,239",39,,,$5B,$360 ,8.50%,$30 ,157,0.053,2%,0.246,54,54,53,21%,1,0.458,0.511,0.031,15.0M,15.50%,$0B,$0B
Below Threshold,Above 3%,Tanzania,Moderate,$0 ,Africa,1/12/10,4.10%,44%,"6,846",26,,"20,043",$23B,$510 ,7.20%,$37 ,172,0.041,3%,0.145,59,60,58,47%,1,0.448,0.52,0.031,45.0M,28.10%,$1B,$1B
Below Threshold,Above 3%,Nigeria,Moderate,$0 ,Africa,1/12/10,4.20%,32%,"78,910",25,,"115,138",$369B,"$2,310 ",5.60%,$80 ,938,0.082,24%,0.176,52,52,51,55%,1,0.44,0.532,0.027,159.7M,43.50%,$1B,$8B
Below Threshold,Above 3%,Zambia,Friendly,$0 ,Africa,1/12/10,4.30%,14%,"2,428",18,,"8,054",$16B,"$1,225 ",6.10%,$75 ,183,0.064,10%,0.209,55,56,53,41%,1,0.469,0.504,0.027,13.2M,38.70%,$0B,$0B
Below Threshold,Above 3%,Burkina Faso,Low,$0 ,Africa,1/12/10,4.30%,45%,"1,683",14,,,$9B,$593 ,7.40%,$41 ,270,0.07,2%,,55,56,54,37%,1,0.46,0.515,0.025,15.5M,25.70%,$0B,$0B
Below Threshold,Above 3%,"Gambia, The",Low,$0 ,Africa,1/12/10,4.30%,292%,473,27,,,$1B,$566 ,4.70%,$27 ,376,0.052,9%,0.27,58,59,57,88%,1,0.46,0.515,0.025,1.7M,56.30%,$0B,$0B
Below Threshold,Above 3%,Congo (Kinshasa),Low,$0 ,Africa,1/12/10,4.40%,339%,"3,040",84,,"23,766",$21B,$330 ,7.00%,$15 ,336,0.092,1%,0.565,49,51,47,19%,1,0.455,0.517,0.028,62.2M,39.90%,$0B,$0B
Below Threshold,Above 3%,Burundi,Low,$0 ,Africa,1/12/10,4.50%,155%,308,13,,,$2B,$220 ,8.80%,$19 ,211,0.061,1%,0.124,53,54,51,18%,1,0.439,0.535,0.025,9.2M,10.60%,$0B,$0B
Below Threshold,Above 3%,Somalia,Not Clustered,,Africa,1/12/10,4.50%,,609,,,,,,,,,0.097,,,54,56,52,7%,1,0.477,0.495,0.028,9.6M,37.30%,,
Below Threshold,Above 3%,Uganda,Moderate,$0 ,Africa,1/12/10,4.50%,35%,"3,784",24,,,$16B,$472 ,9.20%,$43 ,161,0.051,13%,0.202,57,58,56,38%,1,0.489,0.487,0.024,34.0M,14.50%,$1B,$0B
Below Threshold,Above 3%,Angola,Low,$0 ,Africa,1/12/10,4.60%,52%,"30,418",66,,"13,378",$82B,"$4,219 ",3.40%,$144 ,282,0.11,10%,0.225,51,52,49,48%,1,0.478,0.498,0.024,19.5M,40.10%,$1B,$0B
Below Threshold,Above 3%,Chad,Low,$0 ,Africa,1/12/10,4.70%,76%,469,64,,,$11B,$909 ,4.00%,$29 ,732,0.094,2%,,50,51,49,25%,1,0.488,0.487,0.025,11.7M,22.00%,,
Below Threshold,Above 3%,Mali,Low,$0 ,Africa,1/12/10,4.80%,51%,623,8,,,$9B,$674 ,6.90%,$46 ,270,0.083,2%,,54,54,54,53%,1,0.468,0.503,0.029,14.0M,36.00%,$0B,$0B
Below Threshold,Above 3%,Niger,Low,$0 ,Africa,1/12/10,5.00%,47%,"1,412",17,,,$6B,$360 ,6.90%,$24 ,270,0.066,1%,,57,57,57,23%,1,0.498,0.476,0.026,15.9M,17.60%,$0B,
Below Threshold,Below 1.5%,Mauritius,Very Friendly,"$4,688 ",Africa,1/12/11,1.10%,28%,,6,,,$11B,"$8,750 ",4.90%,$450 ,161,0.013,35%,0.089,74,77,70,105%,1,0.206,0.713,0.08,1.3M,40.40%,$2B,$0B
Below Threshold,1.5-3%,Seychelles,Friendly,"$9,376 ",Africa,1/12/11,1.90%,32%,,39,,,$1B,"$12,118 ",3.60%,$413 ,76,0.012,43%,0.112,73,78,68,138%,1,0.222,0.702,0.076,0.1M,52.60%,$0B,$0B
Below Threshold,1.5-3%,Tunisia,Very Friendly,$0 ,Africa,1/12/11,1.90%,62%,,11,,"9,504",$46B,"$4,305 ",7.00%,$304 ,144,0.014,39%,,75,77,73,115%,1,0.233,0.697,0.07,10.7M,66.10%,$3B,$1B
Below Threshold,1.5-3%,South Africa,Very Friendly,"$4,688 ",Africa,1/12/11,2.10%,32%,,19,,"141,372",$404B,"$7,833 ",8.70%,$670 ,200,0.034,34%,0.09,55,57,53,123%,1,0.296,0.651,0.053,51.6M,62.70%,$11B,$8B
Below Threshold,1.5-3%,Morocco,Friendly,$0 ,Africa,1/12/11,2.20%,50%,,12,,"17,283",$99B,"$3,095 ",6.30%,$195 ,238,0.028,46%,,71,72,69,114%,1,0.279,0.671,0.05,32.1M,58.20%,$9B,$2B
Below Threshold,1.5-3%,Libya,Low,"$4,688 ",Africa,1/12/11,2.20%,,,,,"13,342",$35B,"$5,685 ",3.90%,$211 ,,0.014,14%,0.06,75,77,73,164%,1,0.294,0.659,0.046,6.1M,77.80%,,
Below Threshold,1.5-3%,Botswana,Friendly,"$4,688 ",Africa,1/12/11,2.40%,20%,,60,,"2,215",$15B,"$7,697 ",5.20%,$404 ,152,0.039,8%,0.11,47,46,47,146%,1,0.34,0.625,0.035,2.0M,56.50%,$0B,$0B
Below Threshold,1.5-3%,Egypt,Moderate,$0 ,Africa,1/12/11,2.40%,44%,,8,,"77,649",$236B,"$2,973 ",4.90%,$137 ,433,0.019,40%,0.11,71,73,68,105%,1,0.314,0.631,0.056,79.4M,43.00%,$9B,$3B
Below Threshold,1.5-3%,Algeria,Low,"$4,688 ",Africa,1/12/11,2.50%,72%,,25,,"41,852",$199B,"$5,270 ",4.40%,$233 ,451,0.023,14%,0.08,71,72,69,94%,1,0.272,0.681,0.047,37.8M,68.20%,$0B,$1B
Below Threshold,1.5-3%,Namibia,Friendly,"$4,688 ",Africa,1/12/11,2.70%,22%,,66,,"1,589",$12B,"$5,615 ",8.60%,$486 ,339,0.036,12%,0.087,64,66,61,99%,1,0.371,0.594,0.035,2.2M,42.60%,$1B,$0B
Below Threshold,1.5-3%,Lesotho,Moderate,$0 ,Africa,1/12/11,2.80%,16%,,40,,,$2B,"$1,226 ",11.70%,$146 ,324,0.073,4%,0.104,48,48,48,61%,1,0.372,0.586,0.042,2.0M,25.30%,$0B,$0B
Below Threshold,1.5-3%,Djibouti,Low,$0 ,Africa,1/12/11,2.80%,38%,,37,,,$1B,"$1,464 ",8.70%,$119 ,82,0.061,7%,0.106,61,62,59,23%,1,0.339,0.623,0.038,0.8M,77.10%,$0B,$0B
Below Threshold,Above 3%,Swaziland,Moderate,$0 ,Africa,1/12/11,3.10%,37%,,56,,,$4B,"$3,420 ",8.30%,$270 ,104,0.058,18%,0.09,49,48,49,63%,1,0.384,0.582,0.034,1.2M,21.40%,,
Below Threshold,Above 3%,Zimbabwe,Low,$0 ,Africa,1/12/11,3.20%,34%,,90,,"9,312",$11B,$820 ,,,242,0.058,16%,,56,56,55,69%,1,0.408,0.552,0.04,13.4M,33.00%,$1B,
Below Threshold,Above 3%,Ghana,Friendly,$0 ,Africa,1/12/11,3.20%,33%,,12,,"10,550",$40B,"$1,594 ",5.30%,$83 ,224,0.054,14%,,61,62,60,85%,1,0.388,0.577,0.035,24.8M,51.40%,$1B,$1B
Below Threshold,Above 3%,Gabon,Low,"$9,376 ",Africa,1/12/11,3.20%,44%,,57,,"1,997",$19B,"$11,792 ",3.40%,$401 ,488,0.042,8%,,63,64,62,149%,1,0.385,0.562,0.053,1.6M,86.00%,,
Below Threshold,Above 3%,Sudan,Moderate,$0 ,Africa,1/12/11,3.40%,36%,,36,,"16,622",$67B,"$1,848 ",6.70%,$119 ,180,0.054,17%,,62,63,60,69%,1,0.418,0.551,0.032,36.4M,33.20%,$0B,$1B
Below Threshold,Above 3%,Ethiopia,Moderate,$0 ,Africa,1/12/11,3.40%,30%,,15,,"34,064",$31B,$351 ,4.10%,$14 ,198,0.048,1%,,63,64,61,16%,1,0.439,0.528,0.033,89.4M,17.70%,$2B,$0B
Below Threshold,Above 3%,Central African Republic,Low,$0 ,Africa,1/12/11,3.50%,55%,,22,,,$2B,$495 ,3.90%,$19 ,504,0.1,2%,,49,51,47,22%,1,0.404,0.558,0.039,4.4M,39.00%,,
Below Threshold,Above 3%,Mauritania,Low,$0 ,Africa,1/12/11,3.50%,68%,,19,,,$4B,"$1,117 ",5.90%,$51 ,696,0.069,5%,0.17,62,63,60,90%,1,0.404,0.565,0.031,3.7M,57.30%,,
Below Threshold,Above 3%,Madagascar,Moderate,$0 ,Africa,1/12/11,3.50%,37%,,8,,,$10B,$455 ,4.10%,$19 ,201,0.042,2%,0.525,64,65,62,40%,1,0.431,0.541,0.028,21.7M,32.60%,,
Below Threshold,Above 3%,Equatorial Guinea,Low,"$18,752 ",Africa,1/12/11,3.60%,44%,,135,,,$16B,"$21,950 ",4.50%,"$1,051 ",492,0.073,12%,,53,54,51,67%,1,0.391,0.58,0.029,0.7M,39.30%,,
Below Threshold,Above 3%,Comoros,Low,$0 ,Africa,1/12/11,3.60%,218%,,22,,,$1B,$872 ,3.60%,$31 ,100,0.061,6%,0.105,61,62,59,31%,1,0.422,0.549,0.029,0.7M,28.00%,$0B,$0B
Below Threshold,Above 3%,Kenya,Moderate,$0 ,Africa,1/12/11,3.60%,49%,,33,,"20,179",$34B,$816 ,4.40%,$35 ,393,0.05,28%,0.15,61,62,59,67%,1,0.425,0.549,0.026,42.0M,24.00%,$2B,$0B
Below Threshold,Above 3%,Rwanda,Friendly,$0 ,Africa,1/12/11,3.60%,31%,,3,,,$6B,$575 ,11.00%,$62 ,148,0.041,7%,,63,65,61,40%,1,0.442,0.535,0.023,11.1M,24.90%,$0B,$0B
Below Threshold,Above 3%,Sao Tome and Principe,Low,$0 ,Africa,1/12/11,3.60%,33%,,10,,,$0B,"$1,355 ",7.60%,$108 ,424,0.039,20%,0.27,66,68,64,63%,1,0.416,0.549,0.035,0.2M,62.60%,$0B,$0B
Below Threshold,Above 3%,Cote d'Ivoire,Low,$0 ,Africa,1/12/11,3.70%,44%,,32,,"11,233",$24B,"$1,242 ",6.80%,$84 ,270,0.075,2%,,50,51,49,89%,1,0.417,0.552,0.031,19.4M,51.30%,,
Below Threshold,Above 3%,South Sudan,Low,$0 ,Africa,1/12/11,3.70%,,,,,,$21B,"$2,002 ",1.70%,$32 ,,0.068,,,54,55,53,17%,1,0.426,0.54,0.034,10.4M,18.00%,,
Below Threshold,Above 3%,Togo,Low,$0 ,Africa,1/12/11,3.70%,49%,,84,,"2,764",$4B,$580 ,8.00%,$43 ,270,0.059,4%,,56,57,55,42%,1,0.42,0.553,0.027,6.5M,38.00%,,
Below Threshold,Above 3%,Benin,Low,$0 ,Africa,1/12/11,3.70%,66%,,29,,"3,761",$7B,$746 ,4.50%,$34 ,270,0.06,4%,,59,60,58,79%,1,0.432,0.539,0.029,9.8M,42.30%,$0B,
Above Threshold,Above 3%,Liberia,Low,$0 ,Africa,1/12/11,3.70%,43%,,6,,,$2B,$377 ,15.60%,$59 ,158,0.058,3%,0.138,60,61,59,50%,1,0.432,0.537,0.031,4.1M,48.20%,$0B,$0B
Above Threshold,Above 3%,Sierra Leone,Moderate,$0 ,Africa,1/12/11,3.80%,32%,,12,,,$3B,$500 ,16.30%,$82 ,357,0.112,1%,0.21,45,45,45,36%,1,0.42,0.554,0.026,5.9M,38.60%,$0B,$0B
Below Threshold,Above 3%,Guinea-Bissau,Low,$0 ,Africa,1/12/11,3.80%,46%,,9,,,$1B,$596 ,6.30%,$35 ,208,0.082,3%,,54,55,52,45%,1,0.417,0.553,0.029,1.6M,46.10%,,
Below Threshold,Above 3%,Cameroon,Low,$0 ,Africa,1/12/11,3.80%,49%,,15,,"6,720",$25B,"$1,205 ",5.40%,$64 ,654,0.064,5%,,54,55,53,50%,1,0.432,0.535,0.032,21.2M,52.10%,$0B,$1B
Below Threshold,Above 3%,Guinea,Low,$0 ,Africa,1/12/11,3.80%,91%,,40,,,$5B,$454 ,6.00%,$27 ,416,0.069,1%,,56,56,55,44%,1,0.427,0.542,0.031,11.2M,35.30%,$0B,$0B
Below Threshold,Above 3%,Congo (Brazzaville),Low,$0 ,Africa,1/12/11,3.80%,65%,,161,,"1,659",$14B,"$3,414 ",2.50%,$85 ,606,0.039,6%,,58,59,56,92%,1,0.423,0.543,0.034,4.2M,63.70%,,
Below Threshold,Above 3%,Eritrea,Low,$0 ,Africa,1/12/11,3.80%,85%,,84,,765,$3B,$440 ,2.70%,$12 ,216,0.038,1%,,62,64,59,4%,1,0.431,0.548,0.022,5.9M,21.00%,,
Below Threshold,Above 3%,Senegal,Low,$0 ,Africa,1/12/11,3.80%,46%,,6,,"3,515",$14B,"$1,083 ",5.00%,$54 ,666,0.046,18%,,64,65,62,70%,1,0.436,0.534,0.031,13.3M,42.50%,,
Below Threshold,Above 3%,Mozambique,Moderate,$0 ,Africa,1/12/11,4.00%,38%,,13,,"10,202",$13B,$510 ,6.40%,$33 ,230,0.068,4%,0.191,50,50,49,32%,1,0.454,0.514,0.032,24.6M,31.20%,$0B,$0B
Below Threshold,Above 3%,Malawi,Low,$0 ,Africa,1/12/11,4.00%,29%,,39,,,$6B,$364 ,8.30%,$30 ,157,0.049,3%,0.238,54,54,54,26%,1,0.456,0.512,0.031,15.5M,15.70%,$0B,$0B
Below Threshold,Above 3%,Tanzania,Moderate,$0 ,Africa,1/12/11,4.00%,45%,,26,,"20,747",$24B,$515 ,7.40%,$38 ,172,0.039,4%,0.15,60,61,59,55%,1,0.449,0.52,0.031,46.4M,28.80%,$1B,$1B
Below Threshold,Above 3%,Nigeria,Moderate,$0 ,Africa,1/12/11,4.20%,33%,,28,,"118,325",$412B,"$2,509 ",5.70%,$85 ,938,0.079,28%,0.16,52,52,51,58%,1,0.441,0.531,0.027,164.2M,44.40%,$1B,$10B
Below Threshold,Above 3%,Burkina Faso,Low,$0 ,Africa,1/12/11,4.20%,44%,,13,,,$10B,$650 ,6.40%,$39 ,270,0.068,3%,,56,56,55,48%,1,0.458,0.517,0.025,16.0M,26.50%,,
Below Threshold,Above 3%,Zambia,Friendly,$0 ,Africa,1/12/11,4.30%,14%,,18,,"8,462",$19B,"$1,408 ",6.20%,$87 ,183,0.059,12%,0.188,56,57,54,60%,1,0.468,0.505,0.026,13.6M,39.20%,$0B,$0B
Below Threshold,Above 3%,"Gambia, The",Low,$0 ,Africa,1/12/11,4.30%,283%,,27,,,$1B,$518 ,4.70%,$24 ,376,0.051,11%,0.28,59,60,57,81%,1,0.459,0.516,0.025,1.7M,57.00%,$0B,$0B
Below Threshold,Above 3%,Congo (Kinshasa),Low,$0 ,Africa,1/12/11,4.40%,339%,,65,,"24,497",$24B,$373 ,6.10%,$15 ,336,0.09,1%,0.438,50,51,48,25%,1,0.453,0.519,0.028,63.9M,40.40%,$0B,$0B
Below Threshold,Above 3%,Uganda,Moderate,$0 ,Africa,1/12/11,4.40%,35%,,33,,,$15B,$441 ,9.30%,$41 ,213,0.049,13%,0.218,58,59,57,48%,1,0.487,0.489,0.024,35.1M,14.80%,$1B,$1B
Below Threshold,Above 3%,Burundi,Low,$0 ,Africa,1/12/11,4.50%,52%,,13,,,$2B,$247 ,9.00%,$21 ,274,0.059,1%,0.132,53,55,51,20%,1,0.44,0.535,0.025,9.5M,10.90%,$0B,$0B
Below Threshold,Above 3%,Somalia,Not Clustered,,Africa,1/12/11,4.50%,,,,,,,,,,,0.095,1%,,55,56,53,18%,1,0.475,0.496,0.028,9.9M,37.70%,,
Below Threshold,Above 3%,Angola,Low,"$4,688 ",Africa,1/12/11,4.60%,52%,,66,,"13,576",$104B,"$5,153 ",3.40%,$178 ,282,0.107,15%,0.188,52,53,50,53%,1,0.477,0.499,0.024,20.2M,40.90%,$1B,$0B
Below Threshold,Above 3%,Chad,Low,$0 ,Africa,1/12/11,4.70%,76%,,55,,,$12B,"$1,006 ",2.80%,$25 ,732,0.092,2%,,50,51,49,30%,1,0.487,0.488,0.025,12.1M,22.00%,,
Below Threshold,Above 3%,Mali,Low,$0 ,Africa,1/12/11,4.80%,51%,,8,,,$11B,$739 ,6.80%,$51 ,270,0.081,2%,,54,54,54,75%,1,0.47,0.502,0.029,14.4M,36.80%,$0B,$0B
Below Threshold,Above 3%,Niger,Low,$0 ,Africa,1/12/11,5.00%,44%,,17,,,$6B,$388 ,6.80%,$25 ,270,0.064,1%,,58,58,57,29%,1,0.499,0.475,0.026,16.5M,17.80%,$0B,
Below Threshold,Below 1.5%,Mauritius,Very Friendly,"$4,688 ",Africa,1/12/12,1.10%,28%,,6,20,,$11B,"$8,862 ",4.80%,$444 ,161,0.013,35%,0.087,74,77,70,120%,1,0.202,0.715,0.084,1.3M,40.20%,$2B,$0B
Below Threshold,1.5-3%,Seychelles,Friendly,"$9,376 ",Africa,1/12/12,1.90%,26%,,39,77,,$1B,"$11,689 ",4.70%,$521 ,76,0.012,47%,0.122,73,78,68,148%,1,0.221,0.702,0.077,0.1M,52.90%,$0B,$0B
Below Threshold,1.5-3%,Tunisia,Very Friendly,$0 ,Africa,1/12/12,1.90%,62%,,11,49,,$45B,"$4,197 ",7.00%,$297 ,144,0.014,41%,,75,77,73,118%,1,0.232,0.697,0.071,10.8M,66.30%,$3B,$1B
Below Threshold,1.5-3%,South Africa,Very Friendly,"$4,688 ",Africa,1/12/12,2.10%,33%,,19,41,,$382B,"$7,308 ",8.80%,$645 ,200,0.034,41%,0.088,56,58,54,131%,1,0.295,0.65,0.054,52.3M,63.30%,$11B,$7B
Below Threshold,1.5-3%,Libya,Low,"$9,376 ",Africa,1/12/12,2.10%,32%,,35,188,,$82B,"$13,303 ",3.90%,$578 ,889,0.013,,0.06,75,77,73,156%,1,0.295,0.658,0.047,6.2M,78.00%,,$3B
Below Threshold,1.5-3%,Morocco,Friendly,$0 ,Africa,1/12/12,2.30%,50%,,12,95,,$96B,"$2,951 ",6.40%,$190 ,238,0.027,55%,,71,72,69,120%,1,0.278,0.672,0.05,32.5M,58.70%,$8B,$2B
Below Threshold,1.5-3%,Botswana,Friendly,"$4,688 ",Africa,1/12/12,2.40%,25%,,60,65,,$15B,"$7,255 ",5.30%,$384 ,152,0.037,12%,0.11,47,46,48,154%,1,0.338,0.627,0.036,2.0M,56.70%,$0B,$0B
Below Threshold,1.5-3%,Egypt,Moderate,$0 ,Africa,1/12/12,2.40%,43%,,8,127,,$263B,"$3,258 ",5.00%,$152 ,392,0.019,44%,0.12,71,73,69,120%,1,0.312,0.631,0.056,80.7M,43.00%,$11B,$3B
Below Threshold,1.5-3%,Algeria,Low,"$4,688 ",Africa,1/12/12,2.50%,72%,,25,151,,$204B,"$5,301 ",5.20%,$279 ,451,0.022,15%,0.08,71,73,69,98%,1,0.274,0.679,0.047,38.5M,68.90%,$0B,$1B
Below Threshold,1.5-3%,Namibia,Friendly,"$4,688 ",Africa,1/12/12,2.60%,22%,,66,94,,$13B,"$5,931 ",8.30%,$473 ,314,0.036,13%,0.087,64,67,61,95%,1,0.366,0.599,0.035,2.3M,43.70%,,
Below Threshold,1.5-3%,Lesotho,Moderate,$0 ,Africa,1/12/12,2.80%,16%,,29,139,,$2B,"$1,135 ",11.60%,$138 ,324,0.074,5%,0.101,49,49,49,75%,1,0.368,0.591,0.042,2.1M,25.80%,$0B,$0B
Below Threshold,1.5-3%,Djibouti,Low,$0 ,Africa,1/12/12,2.80%,38%,,37,172,,$1B,"$1,575 ",8.80%,$129 ,82,0.059,8%,,62,63,60,25%,1,0.337,0.624,0.039,0.9M,77.10%,$0B,$0B
Below Threshold,Above 3%,Swaziland,Moderate,$0 ,Africa,1/12/12,3.00%,37%,,56,120,,$4B,"$3,290 ",8.50%,$259 ,104,0.057,21%,0.088,49,48,49,65%,1,0.38,0.585,0.034,1.2M,21.40%,,
Below Threshold,Above 3%,Ghana,Friendly,$0 ,Africa,1/12/12,3.10%,33%,,12,62,,$42B,"$1,646 ",5.20%,$83 ,224,0.053,12%,,61,62,60,101%,1,0.386,0.579,0.035,25.4M,52.10%,$1B,$1B
Below Threshold,Above 3%,Zimbabwe,Low,$0 ,Africa,1/12/12,3.20%,35%,,90,168,,$12B,$909 ,,,242,0.055,17%,,58,59,57,92%,1,0.402,0.558,0.039,13.7M,32.80%,$1B,
Below Threshold,Above 3%,Gabon,Low,"$9,376 ",Africa,1/12/12,3.20%,44%,,57,169,,$18B,"$10,930 ",3.50%,$397 ,488,0.04,9%,,63,64,62,180%,1,0.385,0.563,0.052,1.6M,86.40%,,
Below Threshold,Above 3%,Central African Republic,Low,$0 ,Africa,1/12/12,3.40%,67%,,22,187,,$2B,$479 ,3.80%,$18 ,483,0.098,3%,,50,51,48,25%,1,0.401,0.561,0.039,4.5M,39.30%,,
Below Threshold,Above 3%,Mauritania,Low,$0 ,Africa,1/12/12,3.40%,68%,,19,171,,$4B,"$1,043 ",6.40%,$52 ,696,0.068,5%,0.17,62,63,60,106%,1,0.402,0.566,0.032,3.8M,58.00%,,
Below Threshold,Above 3%,Sudan,Moderate,$0 ,Africa,1/12/12,3.40%,36%,,36,143,,$63B,"$1,695 ",7.20%,$115 ,180,0.053,21%,,62,64,60,74%,1,0.415,0.553,0.032,37.2M,33.30%,$1B,$1B
Below Threshold,Above 3%,Ethiopia,Moderate,$0 ,Africa,1/12/12,3.40%,33%,,15,124,,$43B,$467 ,3.80%,$18 ,306,0.046,2%,,63,65,61,22%,1,0.433,0.533,0.034,91.7M,18.20%,$2B,$0B
Below Threshold,Above 3%,Madagascar,Moderate,$0 ,Africa,1/12/12,3.50%,36%,,8,144,,$10B,$443 ,4.10%,$18 ,201,0.041,2%,0.6,65,66,63,39%,1,0.427,0.545,0.028,22.3M,33.20%,,
Below Threshold,Above 3%,Sao Tome and Principe,Low,$0 ,Africa,1/12/12,3.50%,33%,,5,166,,$0B,"$1,400 ",7.90%,$109 ,424,0.038,22%,0.262,66,68,64,65%,1,0.416,0.55,0.034,0.2M,63.30%,$0B,$0B
Below Threshold,Above 3%,Equatorial Guinea,Low,"$18,752 ",Africa,1/12/12,3.60%,44%,,135,164,,$16B,"$22,391 ",4.70%,"$1,138 ",492,0.071,14%,,53,54,51,68%,1,0.39,0.582,0.028,0.7M,39.50%,,
Above Threshold,Above 3%,Liberia,Low,$0 ,Africa,1/12/12,3.60%,27%,,6,149,,$2B,$414 ,15.50%,$65 ,158,0.056,4%,0.135,60,61,59,57%,1,0.431,0.539,0.03,4.2M,48.50%,,
Below Threshold,Above 3%,Comoros,Low,$0 ,Africa,1/12/12,3.60%,218%,,20,160,,$1B,$831 ,4.50%,$38 ,100,0.059,6%,0.105,61,62,59,40%,1,0.422,0.55,0.029,0.7M,28.00%,,
Below Threshold,Above 3%,Kenya,Moderate,$0 ,Africa,1/12/12,3.60%,44%,,32,122,,$40B,$933 ,4.70%,$45 ,340,0.049,32%,0.197,61,63,59,71%,1,0.424,0.55,0.026,43.2M,24.40%,$2B,$0B
Below Threshold,Above 3%,Rwanda,Friendly,$0 ,Africa,1/12/12,3.60%,31%,,3,54,,$7B,$623 ,10.70%,$66 ,134,0.039,8%,,64,65,62,50%,1,0.436,0.541,0.023,11.5M,25.90%,$0B,$0B
Above Threshold,Above 3%,Sierra Leone,Moderate,$0 ,Africa,1/12/12,3.70%,32%,,12,137,,$4B,$633 ,15.10%,$96 ,357,0.11,1%,0.21,46,46,45,37%,1,0.417,0.556,0.026,6.0M,38.90%,$0B,$0B
Below Threshold,Above 3%,Cote d'Ivoire,Low,$0 ,Africa,1/12/12,3.70%,39%,,32,173,,$25B,"$1,244 ",7.10%,$88 ,270,0.073,2%,,51,51,50,91%,1,0.415,0.554,0.031,19.8M,52.00%,,
Below Threshold,Above 3%,South Sudan,Low,$0 ,Africa,1/12/12,3.70%,26%,,17,184,,$11B,$974 ,2.60%,$27 ,218,0.066,,,55,56,54,21%,1,0.423,0.543,0.035,10.8M,18.20%,,
Below Threshold,Above 3%,Guinea,Low,$0 ,Africa,1/12/12,3.70%,91%,,35,179,,$6B,$493 ,6.30%,$32 ,416,0.067,2%,,56,57,55,49%,1,0.425,0.544,0.031,11.5M,35.70%,$0B,$0B
Below Threshold,Above 3%,Togo,Low,$0 ,Africa,1/12/12,3.70%,49%,,38,159,,$4B,$589 ,8.60%,$41 ,270,0.057,4%,,56,57,55,50%,1,0.419,0.554,0.027,6.6M,38.50%,,
Below Threshold,Above 3%,Benin,Low,$0 ,Africa,1/12/12,3.70%,66%,,26,175,,$8B,$751 ,4.50%,$33 ,270,0.058,5%,,60,61,58,84%,1,0.43,0.542,0.029,10.1M,42.70%,$0B,
Below Threshold,Above 3%,Eritrea,Low,$0 ,Africa,1/12/12,3.70%,85%,,84,185,,$3B,$504 ,2.60%,$15 ,216,0.037,1%,,63,65,60,5%,1,0.431,0.547,0.022,6.1M,21.40%,,
Below Threshold,Above 3%,Guinea-Bissau,Low,$0 ,Africa,1/12/12,3.80%,46%,,9,181,,$1B,$494 ,5.90%,$30 ,208,0.08,3%,,55,56,53,63%,1,0.416,0.555,0.029,1.7M,46.90%,,
